"app_name","rating","avg","price","type","category"
"Wordscapes",4.8,230849.000000000000,"0","Free","GAME"
"Dan the Man: Action Platformer",4.8,528550.000000000000,"0","Free","GAME"
"Fernanfloo",4.8,526595.000000000000,"0","Free","GAME"
"Wordscapes",4.8,230710.000000000000,"0","Free","GAME"
"Wordscapes",4.8,230727.000000000000,"0","Free","GAME"
"Cash, Inc. Money Clicker Game & Business Adventure",4.8,549720.000000000000,"0","Free","GAME"
"Drag'n'Boom",4.8,133180.000000000000,"0","Free","GAME"
"Solitaire",4.7,254258.000000000000,"0","Free","GAME"
"Hustle Castle: Fantasy Kingdom",4.7,584126.000000000000,"0","Free","GAME"
"Color by Number – New Coloring Book",4.7,141529.000000000000,"0","Free","GAME"
"Color by Number – New Coloring Book",4.7,142308.000000000000,"0","Free","GAME"
"Solitaire!",4.7,403911.000000000000,"0","Free","GAME"
"Idle Heroes",4.7,416540.000000000000,"0","Free","GAME"
"Word Search",4.7,295576.000000000000,"0","Free","GAME"
"Word Search",4.7,295241.000000000000,"0","Free","GAME"
"Soul Knight",4.7,292164.000000000000,"0","Free","GAME"
"Word Search",4.7,295305.000000000000,"0","Free","GAME"
"Solitaire",4.7,154264.000000000000,"0","Free","GAME"
"Cooking Madness - A Chef's Restaurant Games",4.7,358817.000000000000,"0","Free","GAME"
"Bingo Party - Free Bingo Games",4.7,155694.000000000000,"0","Free","GAME"
"Cytus",4.7,541732.000000000000,"0","Free","GAME"
"Deck Heroes: Legacy",4.7,466495.000000000000,"0","Free","GAME"
"Gems or jewels ?",4.7,171448.000000000000,"0","Free","GAME"
"Bingo by IGG: Top Bingo+Slots!",4.7,183343.000000000000,"0","Free","GAME"
"Cover Fire: offline shooting games for free",4.7,725897.000000000000,"0","Free","GAME"
